movie_movieId,person_personId
m1,p1495
m1,p1261
m1,p3298
m1,p2808
m1,p2727
m1,p104
m1,p3786
m1,p8671
m1,p3531
m1,p5219
m1,p6495
m1,p4782
m1,p161
m2,p7934
m2,p1100
m2,p1510
m2,p6437
m2,p8150
m2,p5487
m2,p6973
m2,p6133
m3,p2868
m3,p1616
m3,p1657
m3,p2082
m3,p5959
m3,p1797
m3,p3804
m3,p3162
m3,p7908
m4,p431
m5,p5579
m5,p7201
m5,p922
m5,p4076
m5,p2625
m5,p865
m5,p37
m5,p4169
m5,p7781
m6,p467
m6,p4033
m6,p6517
m6,p7352
m6,p6880
m6,p4826
m6,p4087
m6,p8242
m7,p7563
m7,p8293
m7,p4540
m7,p3799
m7,p1141
m7,p8715
m7,p2451
m7,p2573
m7,p1140
m7,p5351
m7,p7759
m7,p7470
m7,p8676
m7,p4039
m7,p235
m7,p2631
m7,p5330
m7,p2309
m7,p2266
m7,p2265
m7,p2616
m7,p3432
m7,p3136
m7,p3493
m7,p4261
m7,p6421
m7,p1687
m7,p6468
m7,p1230
m7,p1650
m7,p665
m7,p3600
m7,p5577
m7,p4446
m7,p5491
m7,p3288
m7,p1147
m7,p7564
m7,p358
m8,p4780
m8,p7555
m8,p2209
m8,p1449
m8,p7732
m8,p5379
m9,p1346
m9,p805
m9,p6189
m9,p3802
m9,p1128
m9,p3399
m9,p7427
m9,p541
m10,p5154
m10,p3916
m10,p2078
m10,p574
m10,p1826
m10,p1194
m10,p5999
m10,p692
m10,p6384
m10,p7846
m10,p1377
m10,p4037
m11,p2968
m11,p4750
m11,p1337
m11,p923
m11,p960
m11,p8418
m11,p2489
m11,p3342
m11,p6307
m11,p3980
m11,p4290
m12,p7110
m12,p3298
m12,p505
m12,p2160
m12,p2083
m12,p8505
m12,p8217
m12,p7022
m12,p1929
m12,p6985
m12,p8399
m13,p61
m13,p8131
m13,p5793
m13,p2230
m13,p2402
m13,p2701
m13,p4616
m13,p3994
m14,p1017
m14,p2
m14,p4687
m14,p2127
m15,p6580
m15,p1058
m15,p1470
m15,p7583
m15,p3903
m15,p5383
m15,p891
m15,p2768
m15,p5702
m15,p819
m15,p3759
m15,p4458
m15,p6353
m16,p431
m17,p1485
m17,p1492
m17,p8514
m17,p7401
m17,p3709
m17,p8530
m17,p2248
m17,p585
m17,p118
m18,p7630
m18,p8170
m18,p4852
m18,p5061
m18,p5481
m18,p5049
m18,p2330
m18,p8228
m18,p7816
m18,p2436
m18,p4855
m18,p39
m18,p1094
m18,p1562
m18,p4205
m19,p2534
m19,p4641
m19,p347
m19,p3181
m19,p2515
m19,p3259
m20,p2834
m20,p4719
m20,p5528
m20,p2898
m20,p733
m20,p4721
m20,p8467
m21,p8192
m21,p1313
m21,p5908
m21,p1975
m21,p6610
m21,p3731
m21,p4764
m21,p4902
m21,p3268
m21,p4739
m21,p2522
m21,p6640
m22,p4787
m22,p5780
m22,p961
m22,p2137
m22,p4589
m22,p7397
m22,p3907
m22,p8235
m22,p6655
m22,p7775
m22,p7438
m22,p1112
m22,p4810
m22,p8021
m23,p4077
m23,p3146
m23,p8457
m23,p3475
m23,p2334
m23,p6144
m23,p889
m23,p4300
m23,p4639
m24,p3375
m24,p342
m24,p4965
m24,p7764
m24,p3648
m24,p4234
m24,p1315
m24,p1792
m24,p1578
m24,p7412
m24,p3179
m25,p7619
m25,p1573
m25,p4490
m25,p5666
m25,p4111
m25,p4849
m25,p3876
m25,p4408
m25,p474
m25,p4281
m25,p7195
m25,p5371
m25,p7882
m25,p5706
m26,p6892
m26,p4965
m26,p4655
m26,p8582
m26,p6236
m26,p1541
m26,p4630
m26,p4893
m26,p1525
m26,p6344
m26,p3329
m26,p6738
m26,p2890
m26,p8310
m26,p4690
m27,p214
m27,p8009
m27,p1137
m27,p4997
m27,p8759
m27,p2266
m27,p4452
m27,p6032
m27,p4082
m27,p4577
m27,p5358
m27,p5177
m27,p1813
m27,p4434
m27,p4663
m27,p2514
m27,p6963
m27,p2607
m27,p5173
m27,p8749
m27,p711
m27,p784
m27,p358
m27,p1346
m28,p431
m29,p7255
m29,p664
m29,p945
m29,p8477
m29,p3315
m29,p6168
m29,p6541
m29,p5254
m29,p3708
m30,p4351
m30,p5794
m30,p725
m30,p1489
m30,p3215
m30,p1343
m30,p3495
m30,p8427
m30,p4815
m30,p6544
m31,p1394
m31,p8038
m31,p2419
m31,p424
m31,p8604
m31,p7620
m31,p7631
m31,p2091
m31,p5776
m31,p4258
m31,p1830
m31,p4978
m32,p8171
m32,p3249
m32,p1376
m32,p7892
m32,p5964
m32,p5078
m32,p6910
m32,p4933
m32,p2275
m32,p6843
m32,p1071
m33,p3298
m33,p1676
m33,p5701
m33,p505
m33,p8603
m33,p3307
m33,p3735
m33,p2694
m34,p1378
m34,p8721
m34,p8741
m34,p2464
m34,p7771
m34,p4723
m34,p1033
m34,p516
m34,p4183
m34,p5149
m34,p8656
m34,p716
m34,p1364
m34,p3931
m34,p6860
m34,p4041
m34,p2581
m34,p1516
m34,p8353
m34,p3640
m34,p3627
m34,p8562
m35,p8294
m35,p8730
m35,p2589
m35,p3052
m35,p4927
m35,p5042
m35,p1249
m35,p5412
m35,p77
m36,p4780
m36,p6543
m36,p2833
m36,p5275
m36,p3670
m36,p4304
m36,p4172
m36,p5105
m36,p8251
m36,p6074
m37,p7435
m37,p4900
m37,p8616
m37,p3916
m37,p7094
m37,p3419
m37,p1542
m37,p5854
m38,p431
m39,p4962
m39,p7245
m39,p847
m39,p6704
m39,p2356
m39,p6337
m39,p611
m39,p3576
m39,p4798
m39,p1092
m39,p2255
m39,p6865
m39,p447
m39,p8041
m40,p7817
m40,p7049
m40,p7332
m40,p2389
m40,p1475
m40,p113
m40,p2947
m40,p5626
m40,p3772
m40,p901
m40,p3380
m40,p899
m40,p2391
m41,p1654
m41,p4168
m41,p3299
m41,p1185
m41,p3619
m41,p4755
m41,p4176
m41,p547
m41,p6936
m41,p1287
m41,p1087
m41,p7897
m41,p2121
m41,p6166
m41,p8647
m41,p8239
m41,p5285
m41,p5762
m41,p131
m41,p4265
m41,p7904
m41,p8344
m41,p2712
m41,p3883
m41,p7937
m41,p566
m42,p629
m42,p5741
m42,p7434
m42,p5267
m42,p7651
m42,p3612
m42,p1474
m42,p1533
m42,p3479
m42,p2099
m42,p603
m42,p8694
m42,p8369
m42,p5796
m43,p7518
m43,p5045
m43,p3882
m43,p7024
m43,p551
m43,p4471
m43,p8543
m43,p7546
m43,p904
m43,p5673
m43,p643
m43,p6055
m43,p2961
m44,p3040
m44,p8385
m44,p2595
m44,p5159
m44,p3303
m44,p7069
m44,p7205
m45,p3375
m45,p5186
m45,p1541
m45,p5049
m45,p2427
m45,p130
m45,p4787
m45,p827
m45,p1347
m45,p371
m45,p8119
m45,p7319
m45,p7412
m45,p845
m45,p5690
m45,p3275
m45,p5310
m45,p5674
m45,p3101
m45,p4069
m45,p7744
m45,p2343
m45,p4956
m45,p1499
m45,p7679
m45,p1990
m45,p3754
m45,p3491
m45,p6428
m46,p1262
m46,p6635
m46,p3557
m46,p6980
m46,p3297
m46,p1193
m46,p3069
m46,p5802
m46,p855
m47,p3138
m47,p6948
m47,p1733
m47,p1918
m47,p4249
m47,p2419
m47,p7111
m48,p8215
m48,p3715
m48,p3592
m48,p5637
m48,p6688
m48,p3793
m48,p683
m48,p1037
m48,p3457
m48,p7105
m48,p1948
m48,p3788
m49,p2902
m49,p573
m49,p8364
m49,p1374
m49,p260
m49,p5942
m49,p6507
m49,p2362
m49,p8483
m49,p4228
m49,p4115
m49,p1570
m49,p6313
m49,p2164
m49,p4923
m49,p5982
m49,p3867
m49,p3241
m50,p3545
m50,p8523
m50,p7970
m50,p8444
m50,p1915
m50,p282
m50,p637
m50,p1267
m50,p3315
m50,p5675
m50,p3198
m50,p1514
m50,p2056
m50,p4380
m50,p5282
m50,p6557
m50,p2155
m50,p6357
m50,p4509
m50,p283
m50,p4221
m50,p804
m50,p654
m50,p5143
m50,p1164
m51,p4859
m51,p3862
m51,p2000
m51,p8185
m51,p5954
m51,p2971
m51,p6847
m51,p4908
m51,p1245
m51,p8734
m52,p4341
m52,p7546
m52,p8364
m52,p3249
m52,p8171
m52,p305
m52,p5529
m52,p8458
m52,p2484
m52,p7398
m52,p1453
m52,p1043
m52,p6565
m52,p1016
m52,p6713
m52,p7857
m52,p411
m52,p6772
m52,p7262
m52,p4619
m52,p6843
m52,p2725
m52,p2192
m52,p7892
m52,p1071
m53,p8170
m53,p6156
m53,p900
m53,p3705
m53,p2997
m53,p8635
m53,p5635
m53,p1478
m53,p1879
m53,p3890
m53,p4586
m53,p2114
m53,p239
m53,p993
m53,p5391
m53,p2707
m54,p8579
m54,p4870
m54,p4832
m54,p7501
m54,p8050
m54,p5382
m54,p6170
m54,p648
m54,p2776
m54,p2823
m54,p6170
m54,p7311
m54,p1061
m54,p1955
m55,p8374
m55,p6324
m55,p1374
m55,p8268
m55,p4013
m55,p1948
m55,p5942
m55,p6507
m55,p2101
m55,p2190
m55,p4376
m55,p4923
m55,p5982
m56,p5154
m56,p4742
m56,p4765
m56,p5997
m56,p4761
m56,p1824
m56,p2205
m56,p7050
m56,p8739
m56,p3807
m56,p5809
m56,p8347
