movie_movieId,genre_genreId
m1,g18
m2,g2
m3,g11
m3,g4
m4,g3
m4,g2
m4,g6
m5,g4
m5,g13
m6,g13
m6,g6
m7,g4
m8,g13
m8,g6
m9,g4
m10,g2
m10,g16
m11,g13
m11,g4
m12,g18
m13,g6
m14,g18
m15,g7
m15,g9
m16,g3
m16,g7
m16,g11
m16,g2
m16,g10
m17,g13
m17,g4
m18,g12
m18,g6
m19,g13
m19,g6
m20,g18
m21,g6
m21,g13
m22,g13
m22,g6
m23,g13
m23,g6
m24,g4
m24,g13
m25,g2
m26,g13
m26,g6
m26,g2
m27,g4
m28,g3
m28,g7
m28,g11
m28,g10
m29,g6
m29,g13
m30,g18
m31,g14
m31,g16
m31,g1
m32,g16
m32,g1
m33,g18
m33,g6
m34,g14
m34,g2
m34,g7
m34,g1
m35,g13
m35,g6
m35,g14
m36,g1
m37,g14
m37,g7
m37,g8
m38,g3
m38,g14
m38,g1
m38,g16
m39,g7
m39,g13
m39,g16
m40,g4
m41,g4
m41,g11
m42,g4
m42,g6
m43,g14
m43,g2
m44,g18
m45,g13
m45,g4
m46,g4
m47,g18
m47,g1
m48,g16
m48,g1
m49,g7
m49,g1
m50,g4
m51,g14
m51,g2
m51,g1
m52,g16
m52,g1
m53,g6
m54,g18
m54,g14
m54,g4
m55,g14
m55,g7
m55,g1
m56,g6
m56,g13
m57,g1
m57,g12
m58,g7
m58,g10
m58,g3
m59,g6
m59,g13
m60,g4
m60,g13
m61,g4
m61,g13
m62,g18
m63,g1
m63,g6
m63,g2
m64,g4
m64,g13
m65,g14
m66,g6
m66,g13
m67,g7
m67,g2
m67,g1
m68,g6
m69,g13
m69,g6
m70,g14
m70,g12
m70,g9
m71,g14
m71,g7
m71,g6
m72,g14
m72,g7
m72,g1
m73,g12
m73,g6
m73,g16
m73,g13
m74,g14
m74,g16
m74,g2
m74,g12
m75,g1
m76,g2
m76,g1
m76,g17
m76,g7
m77,g2
m77,g13
m78,g2
m79,g6
m80,g2
m81,g9
m81,g16
m81,g12
m82,g18
m83,g13
m83,g4
m84,g11
m85,g6
m86,g14
m86,g2
m87,g6
m88,g6
m88,g13
m89,g14
m89,g1
m89,g2
m90,g14
m91,g7
m91,g1
m91,g2
m91,g14
m92,g1
m92,g16
m93,g3
m93,g4
m93,g14
m93,g10
m94,g11
m94,g7
m94,g4
m95,g11
m95,g13
m96,g2
m96,g13
m97,g3
m97,g6
m97,g10
m98,g18
m98,g2
m99,g2
m99,g6
m100,g13
m100,g4
m101,g18
m102,g11
m102,g10
m102,g7
m102,g4
m103,g18
m103,g6
m104,g4
m104,g6
m105,g14
m105,g1
m106,g7
m106,g1
m107,g7
m107,g1
m108,g14
m108,g7
m108,g1
m108,g2
m109,g18
m110,g3
m110,g2
m110,g4
m110,g10
m111,g18
m112,g13
m112,g4
m113,g18
m114,g11
m115,g14
m115,g2
m116,g7
m116,g2
m116,g1
m117,g6
m117,g11
m118,g4
m118,g1
m119,g6
m119,g13
m120,g11
m120,g4
m120,g6
m121,g7
m121,g2
m122,g1
m123,g18
m124,g4
m124,g9
m125,g7
m125,g16
m125,g6
m126,g18
m126,g2
m126,g13
m127,g14
m127,g4
m127,g7
m127,g2
m127,g18
m128,g4
m129,g18
m129,g2
m129,g13
m130,g2
m130,g7
m130,g1
m131,g14
m131,g9
m132,g13
m132,g4
m133,g11
m133,g13
m133,g6
m134,g4
m134,g13
m134,g7
m135,g3
m135,g2
m135,g7
m135,g4
m136,g1
m137,g2
m137,g6
m138,g18
m139,g11
m139,g6
m139,g13
m140,g4
m140,g6
m140,g13
m141,g18
m142,g18
m142,g6
m142,g13
m143,g14
m143,g7
m143,g1
m143,g16
m144,g18
m145,g14
m145,g7
m145,g6
m146,g3
m146,g2
m146,g10
m147,g4
m147,g6
m147,g13
m148,g6
m149,g4
m150,g18
m150,g6
m151,g18
m152,g18
m153,g3
m153,g4
m153,g7
m153,g10
m154,g7
m154,g1
m154,g14
m154,g16
m154,g6
m155,g14
m155,g2
m156,g13
m156,g4
m157,g16
m157,g1
m157,g12
m158,g14
m159,g3
m159,g4
m159,g10
m160,g16
m160,g6
m161,g13
m161,g4
m162,g18
m163,g18
m164,g2
m164,g6
m165,g3
m165,g4
m165,g2
m166,g13
m166,g4
m167,g4
m168,g18
m169,g4
m170,g14
m170,g6
m171,g18
m171,g13
m171,g6
m172,g6
m172,g13
m173,g6
m173,g13
m174,g2
m174,g6
m175,g3
m175,g2
m175,g4
m175,g1
m176,g18
m177,g4
m177,g7
m178,g4
m178,g13
m179,g14
m179,g16
m180,g13
m180,g4
m181,g2
m181,g1
m181,g13
m182,g6
m183,g11
m183,g6
m183,g13
m184,g18
m184,g4
m185,g2
m185,g14
m186,g13
m186,g6
m186,g4
m187,g18
m188,g4
m188,g13
m189,g2
m190,g2
m190,g1
m190,g14
m191,g14
m191,g1
m192,g13
m192,g4
m193,g14
m193,g1
