movie_movieId,person_personId
m1,p7659
m2,p7342
m3,p7827
m3,p2868
m4,p4871
m4,p1356
m5,p6377
m6,p5262
m7,p7563
m8,p166
m9,p8751
m10,p2297
m11,p7230
m12,p2278
m13,p7351
m14,p2300
m15,p5383
m16,p1535
m16,p3171
m16,p8565
m17,p2690
m18,p1519
m19,p7085
m20,p1972
m21,p5039
m22,p4123
m23,p3653
m24,p6081
m25,p7046
m26,p501
m27,p3800
m28,p4297
m28,p7355
m29,p7999
m30,p4216
m31,p4978
m32,p6843
m33,p8585
m34,p3510
m35,p8667
m36,p4759
m37,p198
m38,p4771
m39,p1215
m40,p909
m41,p4261
m42,p3854
m43,p7933
m44,p1972
m45,p7044
m46,p1262
m47,p4239
m48,p5965
m49,p4135
m50,p864
m51,p4884
m52,p6843
m53,p2696
m54,p684
m55,p4135
m56,p7517
m57,p363
m58,p5305
m59,p5923
m60,p5072
m61,p6756
m62,p4335
m63,p94
m64,p5039
m65,p7829
m66,p2809
m67,p6721
m68,p675
m69,p44
m70,p5383
m71,p7933
m72,p4978
m73,p1854
m74,p1726
m75,p2569
m76,p8723
m77,p5671
m78,p6920
m79,p979
m80,p6421
m81,p6644
m81,p8416
m82,p7172
m83,p5464
m84,p4467
m85,p4223
m86,p2930
m87,p8170
m88,p6072
m89,p6719
m90,p7281
m91,p4376
m92,p4219
m93,p6815
m93,p1381
m94,p7155
m95,p4506
m96,p7129
m97,p1823
m98,p4351
m99,p7284
m100,p6197
m101,p7172
m102,p7269
m103,p4216
m104,p6434
m104,p2487
m105,p5305
m106,p6828
m107,p7521
m108,p154
m109,p8646
m110,p1388
m110,p1149
m111,p2943
m112,p464
m113,p4216
m114,p7024
m115,p7088
m116,p6721
m117,p6433
m118,p1077
m118,p1534
m119,p1726
m119,p5302
m120,p6016
m121,p1590
m122,p7046
m123,p6920
m124,p4783
m125,p2468
m125,p3500
m126,p3357
m127,p7284
m128,p4124
m129,p4859
m130,p7155
m131,p1814
m132,p1483
m133,p4649
m134,p3203
m135,p5589
m135,p963
m135,p7910
m136,p4356
m137,p2732
m138,p498
m139,p695
m140,p3665
m141,p7519
m142,p4250
m143,p405
m143,p5006
m143,p3325
m144,p1418
m145,p8081
m146,p8666
m146,p1535
m146,p3171
m147,p7827
m148,p8292
m149,p2667
m150,p1519
m151,p1519
m152,p498
m153,p6674
m153,p5106
m153,p1896
m154,p8723
m155,p2921
m156,p4980
m157,p5965
m158,p2751
m159,p6883
m160,p1711
m161,p7604
m162,p7659
m163,p7659
m164,p7158
m165,p2472
m165,p8161
m166,p4138
m167,p3490
m168,p8585
m169,p1332
m170,p2786
m171,p4929
m172,p6082
m173,p2399
m174,p4250
m175,p932
m176,p4216
m177,p3490
m178,p3357
m179,p6719
m180,p6332
m181,p5965
m182,p2809
m183,p8646
m184,p4467
m185,p3623
m186,p1871
m187,p2116
m188,p706
m189,p7056
m190,p7933
m191,p7008
m192,p5464
m193,p3623
m194,p897
m195,p7363
m196,p897
m197,p7284
m198,p407
m199,p4179
m200,p4569
m201,p1547
m201,p3093
m202,p7322
m202,p4007
m202,p508
m203,p1519
m204,p501
m205,p6756
m206,p7129
m207,p1547
m207,p3093
m208,p2904
m209,p4
m209,p912
m210,p3729
m211,p7363
m212,p864
m213,p1897
m214,p4562
m215,p4171
m216,p2092
m217,p7847
m218,p5353
m219,p5846
m220,p2197
m221,p5072
m222,p2297
m223,p359
m223,p4801
m223,p1568
m224,p7563
m225,p2830
m226,p4859
m227,p6743
m228,p6805
m229,p1923
m230,p7829
m231,p7933
m232,p7146
m233,p198
m234,p4103
m235,p3357
m236,p6377
m237,p6369
m238,p1262
m239,p6626
m240,p943
m241,p2661
m242,p1171
m243,p7519
m244,p236
m245,p405
m245,p5006
m245,p3325
m246,p7363
m247,p128
m248,p498
m249,p1448
m250,p4513
m251,p864
m252,p498
m253,p3999
m254,p1804
m255,p6623
m256,p7519
m257,p1519
m258,p8453
m259,p360
m260,p2665
m261,p2571
m262,p2007
m263,p7129
m264,p6082
m265,p1814
m266,p14
m267,p8153
m268,p7082
m269,p3309
m270,p359
m271,p3300
m272,p5844
m273,p5846
m274,p6103
m275,p3357
m276,p404
m277,p6081
m278,p5751
m278,p7527
m278,p3665
m278,p5616
m278,p7920
m278,p4029
m278,p888
m278,p1896
m278,p6061
m278,p8556
m278,p5784
m278,p6195
m278,p5986
m278,p7017
m278,p5011
m278,p1463
m278,p3897
m278,p7979
m278,p6676
m278,p6956
m278,p932
m279,p4385
m280,p3797
m281,p1834
m282,p6641
m283,p4335
m284,p5683
m285,p2937
m286,p4031
m287,p1854
m288,p6369
m289,p5352
m290,p2868
m291,p2633
m292,p8236
m293,p6304
m293,p7890
m294,p4287
m295,p2921
m296,p8082
m296,p8081
m297,p7129
m298,p1923
m299,p5833
m300,p5738
m301,p5846
m302,p5683
m303,p8573
m304,p7933
m305,p1932
m305,p1383
m306,p7342
m307,p4232
m308,p2644
